Date,Name,Year,Letterboxd URI,Rating,ratingCount,communityScoreRaw,communityScoreWeighted
2019-01-18,Get Out,2017,https://boxd.it/eOCm,5.0,835477,9,4.17
2019-01-18,Pulp Fiction,1994,https://boxd.it/29Pq,2.0,861363,8,4.31
2019-01-18,The Dark Knight,2008,https://boxd.it/2b0k,3.0,852889,10,4.43
2019-01-18,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4.0,592689,10,3.5
2019-01-18,Inception,2010,https://boxd.it/1skk,2.0,889327,8,4.17
2019-01-18,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.0,526951,9,3.19
2019-01-18,Fight Club,1999,https://boxd.it/2a9q,3.0,802313,10,4.26
2019-01-18,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.0,735040,9,4.0
2019-01-18,The Shining,1980,https://boxd.it/29Nu,4.0,681905,10,4.28
2019-01-18,Inglourious Basterds,2009,https://boxd.it/1JzG,3.0,726141,10,4.28
2019-01-18,Inside Out,2015,https://boxd.it/4KHC,3.0,607246,10,3.89
2019-01-18,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5.0,366311,2,3.98
2019-01-18,Star Wars,1977,https://boxd.it/72s,4.0,567873,9,4.21
2019-01-18,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.0,468059,4,3.62
2019-01-18,Drive,2011,https://boxd.it/IG,4.0,462067,2,3.97
2019-01-18,The Martian,2015,https://boxd.it/8SeG,4.0,482881,4,3.72
2019-01-18,The Godfather,1972,https://boxd.it/2aNK,4.0,501079,10,4.54
2019-01-18,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.0,518432,10,4.4
2019-01-18,The Social Network,2010,https://boxd.it/17ue,4.0,648970,10,3.95
2019-01-18,Kill Bill: Vol. 1,2003,https://boxd.it/70w,1.0,593625,10,4.14
2019-01-18,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.0,583456,10,4.31
2019-01-18,Se7en,1995,https://boxd.it/29zs,4.0,577624,10,4.26
2019-01-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,1.0,555277,9,4.32
2019-01-18,Nightcrawler,2014,https://boxd.it/780m,4.0,461844,8,4.03
2019-01-18,Hereditary,2018,https://boxd.it/hNVe,5.0,548058,8,4.0
2019-01-18,Jurassic Park,1993,https://boxd.it/2aA2,5.0,478648,10,4.1
2019-01-18,Forrest Gump,1994,https://boxd.it/728,5.0,646341,1,4.11
2019-01-18,Spirited Away,2001,https://boxd.it/2b4m,5.0,624805,10,4.47
2019-01-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,2.0,591297,7,3.87
2019-01-18,The Shawshank Redemption,1994,https://boxd.it/2aHi,3.0,513454,10,4.46
2019-01-18,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.0,362626,10,3.99
2019-01-18,Room,2015,https://boxd.it/7T0y,4.0,326667,8,4.01
2019-01-18,Reservoir Dogs,1992,https://boxd.it/2agc,3.0,433977,9,4.12
2019-01-18,Psycho,1960,https://boxd.it/2ab2,4.0,349874,8,4.31
2019-01-18,Up,2009,https://boxd.it/1OEc,4.0,549088,10,4.07
2019-01-18,Return of the Jedi,1983,https://boxd.it/27Vm,4.0,430897,10,4.0
2019-01-18,GoodFellas,1990,https://boxd.it/29FA,4.0,425936,9,4.42
2019-01-18,The Truman Show,1998,https://boxd.it/18U8,1.0,629583,10,4.14
2019-01-18,Split,2016,https://boxd.it/dgSy,1.0,420027,9,3.5
2019-01-18,The Witch,2015,https://boxd.it/9X0m,4.5,370172,9,3.86
2019-01-18,Jaws,1975,https://boxd.it/2a5e,4.0,356812,10,4.01
2019-01-18,Zodiac,2007,https://boxd.it/27MO,4.0,437322,10,3.98
2019-01-18,Pan's Labyrinth,2006,https://boxd.it/28No,4.0,321312,9,4.14
2019-01-18,Spotlight,2015,https://boxd.it/a84k,4.0,252784,9,3.99
2019-01-18,Finding Nemo,2003,https://boxd.it/72i,5.0,479003,9,4.04
2019-01-18,Shutter Island,2010,https://boxd.it/1U82,1.5,542924,8,4.01
2019-01-18,Moana,2016,https://boxd.it/8tfY,3.5,357427,8,3.77
2019-01-18,It Follows,2014,https://boxd.it/87wo,2.5,254158,10,3.56
2019-01-18,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3.5,481043,10,4.08
2019-01-18,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3.5,289715,3,3.0
2019-01-18,The Imitation Game,2014,https://boxd.it/6aig,4.0,313103,8,3.75
2019-01-18,Schindler's List,1993,https://boxd.it/2aq2,4.5,307315,10,4.42
2019-01-18,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4.0,473076,10,3.77
2019-01-18,Die Hard,1988,https://boxd.it/2a7u,3.0,297943,9,4.08
2019-01-18,Silver Linings Playbook,2012,https://boxd.it/2TTo,3.0,309526,4,3.62
2019-01-18,"Monsters, Inc.",2001,https://boxd.it/2a46,4.0,447520,8,4.06
2019-01-18,Apocalypse Now,1979,https://boxd.it/6ZS,3.0,255884,9,4.36
2019-01-18,Avatar,2009,https://boxd.it/1Efm,0.5,438580,3,3.34
2019-01-18,The Big Short,2015,https://boxd.it/ajZw,3.5,283523,6,3.76
2019-01-18,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5,406111,9,3.92
2019-01-18,Oldboy,2003,https://boxd.it/29R2,4.0,269810,10,4.31
2019-01-18,Trainspotting,1996,https://boxd.it/29XY,2.0,288116,9,4.13
2019-01-18,Finding Dory,2016,https://boxd.it/4aAA,4.0,283923,7,3.32
2019-01-18,Halloween,1978,https://boxd.it/2wRu,3.5,288160,9,3.91
2019-01-18,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,4.0,382938,7,3.47
2019-01-18,The Cabin in the Woods,2011,https://boxd.it/1zOc,4.0,277303,9,3.48
2019-01-18,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,3.0,378850,1,2.69
2019-01-18,Citizen Kane,1941,https://boxd.it/71O,3.0,216022,10,4.19
2019-01-18,Casablanca,1942,https://boxd.it/2aG0,3.0,199533,10,4.24
2019-01-18,The Babadook,2014,https://boxd.it/77xu,3.5,218291,7,3.46
2019-01-18,Catch Me If You Can,2002,https://boxd.it/29VS,4.0,388618,8,3.99
2019-01-18,Bird Box,2018,https://boxd.it/eh1i,4.0,321961,5,2.89
2019-02-12,Velvet Buzzsaw,2019,https://boxd.it/gAy0,3.0,100738,5,2.43
2019-02-16,Halloween,2018,https://boxd.it/f0uE,4.0,174794,6,3.27
2019-02-16,Rosemary's Baby,1968,https://boxd.it/29zM,3.0,176272,8,4.16
2019-02-16,The Exorcist,1973,https://boxd.it/1Yoo,3.5,224161,8,4.01
2019-02-16,The Conjuring,2013,https://boxd.it/4sr2,3.0,302245,7,3.57
2019-02-16,It Comes at Night,2017,https://boxd.it/eLuk,3.0,109000,8,3.24
2019-02-16,Carrie,1976,https://boxd.it/20ZQ,3.0,175241,10,3.84
2019-02-16,28 Days Later,2002,https://boxd.it/2aXU,2.5,173409,8,3.72
2019-02-16,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,3.5,182471,8,3.76
